,Restaurant#,Restaurant Name,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,price
3966,RESTPUNE3967,Suraj Dhaba," Old Mumbai-Pune Highway, Pune",3.3,8,0.0,0,500
3967,RESTPUNE3968,Hotel Kokanratna Sea Food Family Resto," Satara Road, Pune",3.3,8,3.3,39,750
3968,RESTPUNE3969,Second Wife," Viman Nagar, Pune",3.3,8,3.9,244,500
3969,RESTPUNE3970,Bismillah Biryani & Caterer's," Chandan Nagar, Pune",3.3,8,3.9,333,200
3970,RESTPUNE3971,Bhaskar Momos And Chicken Shawarma," Bavdhan, Pune",3.3,8,3.8,64,250
3971,RESTPUNE3972,Hotel Mejwani," Ravet, Pune",3.3,8,0.0,0,600
3972,RESTPUNE3973,Pune Coffee Club," Budhwar Peth, Pune",3.3,8,0.0,3,350
3973,RESTPUNE3974,Banaras Puri Bhandar," Salunkhe Vihar Road, Pune",3.3,8,3.0,34,200
3974,RESTPUNE3975,Coffee Craze," Rasta Peth, Pune",3.3,8,0.0,5,300
3975,RESTPUNE3976,Hotel Jay Mataji," Lonavala, Pune",3.2,8,3.4,120,300
3976,RESTPUNE3977,Samarth Wade Wale," Wakad, Pune",3.2,8,3.9,28,100
3977,RESTPUNE3978,Chennai Express," Shivaji Nagar, Pune",3.2,8,0.0,12,450
3978,RESTPUNE3979,CK's Kitchen," Dhankawadi, Pune",3.2,8,0.0,5,300
3979,RESTPUNE3980,BFF Bar Shawarma And Rolls," Balewadi, Pune",3.2,8,0.0,6,200
3980,RESTPUNE3981,Tosh A Quality Restaurant," Pimple Nilakh, Pune",3.2,8,0.0,9,250
3981,RESTPUNE3982,Delhi Tadka," Kharadi, Pune",3.2,8,3.9,89,200
3982,RESTPUNE3983,Shri Datta Krupa Snacks And Chinese Centre," Bavdhan, Pune",3.2,8,0.0,6,250
3983,RESTPUNE3984,Royal Samrat," Bhosari, Pune",3.2,8,0.0,4,400
3984,RESTPUNE3985,Shriman Garden Family Resto 'N' Bar," Pune-Solapur Road, Pune",3.2,8,0.0,0,800
3985,RESTPUNE3986,Avi's Biryani," Kondhwa, Pune",3.2,8,0.0,3,350
3986,RESTPUNE3987,Cafe Royal," Bhosari, Pune",3.2,8,3.9,711,200
3987,RESTPUNE3988,Maurya Snacks And Juice Bar," Hadapsar, Pune",3.2,8,3.8,88,350
3988,RESTPUNE3989,Anand Pavbhaji," Karve Nagar, Pune",3.2,8,4.1,475,200
3989,RESTPUNE3990,Zishan Caterers," Chandan Nagar, Pune",3.2,8,0.0,19,200
3990,RESTPUNE3991,Shokeen Burger," Hadapsar, Pune",3.2,8,3.9,73,300
3991,RESTPUNE3992,Mad Over Cake Cafe," Pimpri, Pune",3.2,8,0.0,3,200
3992,RESTPUNE3993,Labbaik Restaurant," Kondhwa, Pune",3.2,8,0.0,2,300
3993,RESTPUNE3994,Yes! Momos & Maggi," Chandan Nagar, Pune",3.2,8,3.7,75,100
3994,RESTPUNE3995,Anna's Food Junction," Chakan, Pune",3.2,8,0.0,1,150
3995,RESTPUNE3996,Jeevan Tea Center," Karve Nagar, Pune",3.2,8,3.2,46,100
3996,RESTPUNE3997,Scallions," Baner, Pune",3.2,8,3.0,20,500
3997,RESTPUNE3998,Pick Me Up," Dhanori, Pune",3.2,8,3.4,20,400
3998,RESTPUNE3999,Hungry Folks," Ravet, Pune",3.2,8,0.0,6,350
3999,RESTPUNE4000,Lajwaab Biryani," Nigdi, Pune",3.2,8,0.0,0,200
4000,RESTPUNE4001,Hotel Sampoorna," Chinchwad, Pune",3.2,8,3.3,115,300
4001,RESTPUNE4002,Khilare Eggs And Cafe," Kothrud, Pune",3.1,8,0.0,4,350
4002,RESTPUNE4003,New Delite Oven Fresh," Pashan, Pune",3.1,8,0.0,5,200
4003,RESTPUNE4004,Hotel Gurukrupa," Bibvewadi, Pune",3.1,8,3.9,48,400
4004,RESTPUNE4005,Ajay Dhaba," Old Mumbai-Pune Highway, Pune",3.1,8,0.0,0,750
4005,RESTPUNE4006,The Noodle Place," Katraj, Pune",3.1,8,3.6,470,300
4006,RESTPUNE4007,Hotel Sagar," Shivaji Nagar, Pune",3.1,8,3.9,22,600
4007,RESTPUNE4008,Desi Flavours," Aundh, Pune",3.1,8,3.7,46,250
4008,RESTPUNE4009,Alan's Cafe," Mundhwa, Pune",3.1,8,0.0,5,300
4009,RESTPUNE4010,Chilled Station," Kothrud, Pune",3.1,8,3.9,53,250
4010,RESTPUNE4011,Bellagreen Pure Veg Kitchen And Bar," Lonavala, Pune",3.9,7,0.0,10,1000
4011,RESTPUNE4012,Kokani Tadaka," Sadashiv Peth, Pune",3.9,7,3.9,25,400
4012,RESTPUNE4013,Amul Ice Cream Parlor," Viman Nagar, Pune",3.9,7,3.9,23,200
4013,RESTPUNE4014,Apni Indian Rasoi," Sadashiv Peth, Pune",3.9,7,0.0,7,350
4014,RESTPUNE4015,Urbano Pizzas," Akurdi, Pune",3.9,7,0.0,8,600
